"name","n","nagq","status","beta","se","OR","CI_low","CI_high","p","inner_gradient","outer_gradient","outer_tolerance","min_hessian_eigenvalue","hessian_condition","logLik","random_intercept_sd","optimizer_message"
"attention_pass_aghq21",505,21,"ACCEPTED",-1.05187441116982,0.331693879950466,0.349282436240226,0.182321718242757,0.669137069580873,0.00151799902319485,5.7253869423235e-09,2.84891891139885e-06,1e-05,0.0824998871669731,10066.8633821333,-2382.39419710632,5.82555367097856,"Stopped by small gradient (grtol)."
"attention_pass_aghq7",505,7,"INVALID_HESSIAN_OR_SE",-1.04281611503882,0.0263060771504134,0.352460713135538,NA,NA,NA,1.56663541917013e-07,3.64643590354346,1e-05,-6104.0324042572,-0.838290273017159,-2383.88327169758,5.77115239068961,"Stopped by zero step from line search"
"comprehension_pass_aghq21",358,21,"INVALID_HESSIAN_OR_SE",-0.76120027970497,NA,0.467105433230948,NA,NA,NA,8.4918752740748e-07,0.475085692039663,1e-05,-191.31164113571,-7.06707923064643,-1691.00492359104,5.64049272255211,"Stopped by zero step from line search"
"comprehension_pass_aghq7",358,7,"INVALID_HESSIAN_OR_SE",-0.756184180514801,0.127918377886573,0.469454366732846,NA,NA,NA,2.67756565808241e-07,6.94414697085903,1e-05,-1740.72047031584,-2.95012011033992,-1691.96957159545,5.59097440598332,"Stopped by zero step from line search"
"corrected_technical_unambiguous_aghq21",523,21,"NEAR_OR_UNCONVERGED",-1.09052902825793,0.310417047658698,0.33603867272109,NA,NA,NA,7.56344986641011e-11,1.11255118016185e-05,1e-05,0.0897496773042058,9735.23139785341,-2491.99790565367,5.5895725088114,"Stopped by zero step from line search"
"corrected_technical_unambiguous_aghq7",523,7,"INVALID_HESSIAN_OR_SE",-1.08406843244759,0.30669383860094,0.338216710898537,NA,NA,NA,5.07570607766183e-09,1.39275917292118e-05,1e-05,-6422.17713329688,-0.136148045803656,-2493.27228519555,5.54554769443722,"Stopped by zero step from line search"
"english_aghq21",530,21,"NEAR_OR_UNCONVERGED",-0.963487979294918,0.312830723107033,0.381559689948367,NA,NA,NA,1.10892858229406e-08,1.42649711937978e-05,1e-05,0.0871384496155669,10049.0970360891,-2513.97496383693,5.67706141992668,"Stopped by zero step from line search"
"english_aghq7",530,7,"NEAR_OR_UNCONVERGED",-0.957635168381205,0.310000672874325,0.383799434673507,NA,NA,NA,6.73774907644642e-07,1.55072689515345e-05,1e-05,0.0885481016022485,9897.93636735102,-2515.38458324852,5.62838238122279,"Stopped by zero step from line search"
"factual_aghq21",538,21,"NEAR_OR_UNCONVERGED",-1.07512186672826,0.351950212584553,0.341256164994483,NA,NA,NA,1.60031654594661e-10,3.3746068494808e-05,1e-05,0.0871626205484169,20489.5603786465,-2553.3078402682,5.68192330354889,"Stopped by zero step from line search"
"factual_aghq7",538,7,"NEAR_OR_UNCONVERGED",-1.06831051858996,0.349343211373981,0.343588513740913,NA,NA,NA,6.9319398487977e-07,3.94587391338664e-05,1e-05,0.0883774205585939,10098.1665713,-2554.7372313583,5.6333425487607,"Stopped by zero step from line search"
"full_aghq11_warm",538,11,"INVALID_HESSIAN_OR_SE",-1.02116374168961,NA,0.360175544889358,NA,NA,NA,3.66698893472517e-11,5.81795424656504,1e-05,-3432.48156823405,-3.70480073516774,-2553.47466700472,5.67624182628896,"Stopped by zero step from line search"
"full_aghq15_warm",538,15,"INVALID_HESSIAN_OR_SE",-1.02116374168961,NA,0.360175544889358,NA,NA,NA,3.66698893472517e-11,11.7694402686165,1e-05,-6232.86357727275,-3.6929210009636,-2553.36097014224,5.67624182628896,"Stopped by zero step from line search"
"full_aghq21_cold",538,21,"ACCEPTED",-1.02125793128101,0.311367772794891,0.36014162169958,0.195630510008753,0.66299468152795,0.00103840608957401,1.60932822623749e-10,9.19382277487896e-06,1e-05,0.0869714679847614,10252.3241364097,-2553.36110970939,5.68234661480009,"Stopped by small gradient (grtol)."
"full_aghq21_perturbed",538,21,"ACCEPTED",-1.02125802561613,0.311369932860118,0.360141587725581,0.19562966332464,0.662997425877418,0.00103848872369018,1.60932267512237e-10,9.09293493611562e-06,1e-05,0.0869687135318767,10252.6488058932,-2553.36110970939,5.68234651567956,"Stopped by small gradient (grtol)."
"full_aghq21_warm",538,21,"NEAR_OR_UNCONVERGED",-1.02125808125407,0.311362889520085,0.360141567688047,NA,NA,NA,1.60932822623749e-10,1.51548950888655e-05,1e-05,0.0869750975295289,10251.8962811283,-2553.36110970939,5.68234626099414,"Stopped by zero step from line search"
"full_aghq7",538,7,"ACCEPTED",-1.01493003662172,0.308531253221302,0.362427785617756,0.197969919600087,0.663504334664247,0.00100346509478723,6.94942770551599e-07,6.27746640168281e-06,1e-05,0.0884694651198847,10087.7356469575,-2554.79047132132,5.63376261594622,"Stopped by small gradient (grtol)."
"intended_s4_aghq7",315,7,"ACCEPTED",-1.49369913145419,0.483812799750241,0.224540512512531,0.0869906363549276,0.579584698675839,0.0020195010771065,2.55828691564375e-12,6.30939877110713e-06,1e-05,0.042922158132151,10753.2595975116,-1323.06717896194,6.566349695365,"Stopped by small gradient (grtol)."
"intended_s4_s2_aghq7",191,7,"ACCEPTED",-1.69023526598571,0.599508576800953,0.184476117931479,0.0569688595034287,0.597369130849826,0.00481183251171236,5.964914118195e-10,2.14909169033933e-06,1e-05,0.0221406662973326,12133.7120004677,-731.235124806292,6.49112541839795,"Stopped by small gradient (grtol)."
"knowledge_aghq21",538,21,"INVALID_HESSIAN_OR_SE",-0.795515595009589,0.354592532327259,0.451348461904902,NA,NA,NA,1.26412844636548e-08,9.08609225296952e-06,1e-05,-50.4510560864716,-18.5132015212909,-2552.81415769088,5.67425539811295,"Stopped by small gradient (grtol)."
"knowledge_aghq7",538,7,"INVALID_HESSIAN_OR_SE",-0.789713354979939,0.087376544946349,0.453974906279748,NA,NA,NA,8.90095322558793e-07,20.9095593356811,1e-05,-3905.00532403755,-4.32951923644456,-2554.23682864344,5.62616362758804,"Stopped by zero step from line search"
"largest_recruitment_source_excluded_aghq7",395,7,"ACCEPTED",-1.1940734191869,0.361224060930939,0.302984563841823,0.149260889341202,0.61502813182743,0.000947628271175831,1.98018917929588e-08,5.96739791218971e-06,1e-05,0.0736855905622268,9101.48294956638,-1911.97993264212,5.5151336275967,"Stopped by small gradient (grtol)."
"legacy_composite_unambiguous_aghq21",330,21,"ACCEPTED",-1.79328778983238,0.428502405016978,0.166412141113812,0.0718527012876434,0.385413494744223,2.85150794501087e-05,1.98310257104595e-11,3.75131333443818e-06,1e-05,0.057575687120789,9574.4427434495,-1572.7612041519,5.69051795732579,"Stopped by small gradient (grtol)."
"legacy_composite_unambiguous_aghq7",330,7,"INVALID_HESSIAN_OR_SE",-1.77876615364796,0.00809236617389232,0.168846349249632,NA,NA,NA,9.19012774991401e-07,165.149396472731,1e-05,-4427.0810528615,-4.44993497449007,-1573.55815226174,5.64701866105561,"Stopped by zero step from line search"
"very_fast_excluded_aghq7",501,7,"ACCEPTED",-1.01158074120596,0.315688771654883,0.363643698427616,0.195867011270338,0.675135330592247,0.00135362704092293,2.8908445637299e-09,5.48341456962352e-06,1e-05,0.087296279457816,9520.03935343627,-2378.30805548711,5.65658738238643,"Stopped by small gradient (grtol)."
